area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_inr,price_per_sqft
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,865.0,2.0,2.0,44.98,2,4498000.0,5200.0
Super built-up  Area,Ready To Move,Sathanur Gardens,1 BHK,658.0,1.0,0.0,37.82,1,3782000.0,5747.720364741642
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,707.0,1.0,2.0,40.72,1,4072000.0,5759.547383309759
Plot  Area,18-Jun,Vijayanagar,2 BHK,1184.0,2.0,1.0,72.63,2,7263000.0,6134.290540540541
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1269.0,3.0,0.0,54.55,2,5455000.0,4298.66036249015
Super built-up  Area,Ready To Move,Kr Puram,4 BHK,2509.0,4.0,0.0,120.09,4,12009000.0,4786.369071343164
Carpet  Area,Ready To Move,Kalyan Nagar Block,3 BHK,1429.5,2.0,1.0,120.65,3,12065000.0,8440.01399090591
Carpet  Area,Ready To Move,Bannerghatta Road,4 BHK,2007.0,4.0,2.0,95.03,4,9503000.0,4734.927752864973
Carpet  Area,Ready To Move,Basavanagudi,2 BHK,1084.5,2.0,2.0,91.49,2,9149000.0,8436.145689257723
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,2049.0,3.0,0.0,128.31,3,12831000.0,6262.07906295754
Super built-up  Area,Ready To Move,Pattandur Agrahara Colony,3 Bedroom,1405.0,4.0,1.0,74.27,3,7427000.0,5286.120996441281
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,2080.97,3.0,1.0,138.91,3,13891000.0,6675.2524063297415
Super built-up  Area,Ready To Move,Sathanur Extension,1 Bedroom,474.0,1.0,1.0,19.03,1,1903000.0,4014.7679324894516
Built-up  Area,Ready To Move,Basavanagudi,3 BHK,1396.0,3.0,1.0,154.5,3,15450000.0,11067.335243553009
Built-up  Area,Ready To Move,Banashankari,3 BHK,2077.0,3.0,2.0,149.39,3,14938999.999999998,7192.585459797784
Built-up  Area,19-May,Kumaraswamy Layout Layout,5 BHK,3044.0,5.0,2.0,135.68,5,13568000.0,4457.293035479632
Built-up  Area,Ready To Move,Btm Layout,1 BHK,706.0,1.0,1.0,43.52,1,4352000.0,6164.305949008499
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1184.832,2.0,2.0,57.21,2,5721000.0,4828.532652730513
Built-up  Area,Ready To Move,Whitefield,2 BHK,1486.485,3.0,3.0,74.02,2,7402000.0,4979.532252259525
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,754.55,2.0,0.0,64.63,1,6463000.0,8565.370088132
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,1527.0,4.0,2.0,105.77,3,10577000.0,6926.653569089718
Built-up  Area,Ready To Move,Sarjapur Enclave,4 BHK,2046.0,3.0,1.0,68.83,4,6883000.0,3364.125122189638
Super built-up  Area,Ready To Move,Sonnenahalli Stage 2,2 BHK,957.0,2.0,3.0,106.61,2,10661000.0,11140.02089864159
Carpet  Area,Ready To Move,Kadugodi Colony,2 Bedroom,1190.0,1.0,3.0,56.99,2,5699000.0,4789.075630252101
Super built-up  Area,19-May,Kr Puram,3 Bedroom,2020.0,2.0,0.0,96.54,3,9654000.0,4779.207920792079
Super built-up  Area,Ready To Move,Jp Nagar,2 BHK,947.43,2.0,0.0,66.21,2,6620999.999999999,6988.379088692568
Super built-up  Area,Ready To Move,Gottigere Phase 2,5 BHK,3186.93,5.0,2.0,244.65,5,24465000.0,7676.666886313788
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1297.5,2.0,2.0,60.15,3,6015000.0,4635.838150289017
Built-up  Area,Ready To Move,Cv Raman Nagar,2 BHK,1122.5,2.0,3.0,67.56,2,6756000.0,6018.708240534521
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1436.0,2.0,2.0,90.77,2,9077000.0,6321.030640668524
Built-up  Area,Ready To Move,Basavanagudi,1 BHK,615.5,1.0,1.0,53.52,1,5352000.0,8695.369618196588
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,1287.0,3.0,2.0,126.5,2,12650000.0,9829.059829059828
Super built-up  Area,19-Aug,Yeshwanthpur,3 BHK,1371.48,3.0,1.0,88.17,3,8817000.0,6428.82141919678
Super built-up  Area,19-Aug,Anekal Phase 1,2 BHK,946.9,2.0,3.0,97.09,2,9709000.0,10253.458654556976
Carpet  Area,Ready To Move,Kaggadasapura Cross,4 BHK,2892.27,4.0,2.0,164.03,4,16403000.0,5671.323908210506
Super built-up  Area,Ready To Move,Frazer Town,2 Bedroom,994.0,1.0,2.0,90.65,2,9065000.0,9119.718309859154
Super built-up  Area,Ready To Move,Kr Puram,1 BHK,415.53,1.0,1.0,15.73,1,1573000.0,3785.5269174307514
Super built-up  Area,19-Mar,Vijayanagar,3 BHK,1673.0,3.0,0.0,96.99,3,9699000.0,5797.369994022713
Super built-up  Area,Ready To Move,Attibele Cross,2 Bedroom,1435.0,2.0,1.0,56.49,2,5649000.0,3936.5853658536585
Super built-up  Area,Ready To Move,Mahadevapura Nagar,2 Bedroom,1334.0,3.0,2.0,63.21,2,6321000.0,4738.380809595203
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,1846.0,4.0,3.0,103.43,3,10343000.0,5602.925243770314
Built-up  Area,19-May,Yeshwanthpur,2 BHK,1221.0,3.0,0.0,86.98,2,8698000.0,7123.669123669124
Built-up  Area,Ready To Move,Subramanyapura Main Road,2 BHK,1021.0,2.0,0.0,67.39,2,6739000.0,6600.391772771793
Super built-up  Area,Ready To Move,Other,2 BHK,1360.0,3.0,0.0,72.9,2,7290000.000000001,5360.2941176470595
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1424.412,1.0,3.0,58.49,2,5849000.0,4106.255774312488
Super built-up  Area,Ready To Move,Yeshwanthpur,2 Bedroom,1126.0,2.0,3.0,74.96,2,7495999.999999999,6657.193605683836
Carpet  Area,Ready To Move,Nagarbhavi Colony,3 BHK,1799.0,2.0,0.0,75.48,3,7548000.0,4195.6642579210675
Plot  Area,Ready To Move,Btm Layout,3 BHK,1742.4,3.0,3.0,104.79,3,10479000.0,6014.118457300276
Super built-up  Area,18-Jun,Whitefield,2 BHK,1098.0,2.0,0.0,60.97,2,6097000.0,5552.823315118397
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1080.0,1.0,1.0,48.67,2,4867000.0,4506.481481481482
Super built-up  Area,Ready To Move,Btm Layout,2 BHK,1088.0,2.0,1.0,75.98,2,7598000.0,6983.455882352941
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1656.0,2.0,0.0,109.26,3,10926000.0,6597.826086956522
Super built-up  Area,Ready To Move,Yelenahalli Township,2 BHK,1306.8,1.0,1.0,52.15,2,5215000.0,3990.6642179369455
Carpet  Area,19-May,Yelenahalli Township,2 BHK,1181.0,2.0,0.0,50.39,2,5039000.0,4266.723116003387
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1211.77,3.0,0.0,51.64,2,5164000.0,4261.534779702419
Super built-up  Area,19-May,Hsr Layout,4 BHK,2479.0,4.0,0.0,190.42,4,19042000.0,7681.323114158935
Super built-up  Area,Ready To Move,Btm Layout,5 BHK,3065.72,5.0,2.0,162.86,5,16286000.000000002,5312.292055373617
Built-up  Area,Ready To Move,Other,1 BHK,325.0,2.0,1.0,28.59,1,2859000.0,8796.923076923076
Plot  Area,Ready To Move,Nagarbhavi Main Road,2 Bedroom,854.42,1.0,3.0,47.54,2,4754000.0,5564.008333138269
Plot  Area,18-Dec,Banashankari,2 BHK,924.8,2.0,2.0,48.39,2,4839000.0,5232.482698961938
Built-up  Area,Ready To Move,Electronic City,2 BHK,1267.0,3.0,2.0,56.81,2,5681000.0,4483.820047355959
Built-up  Area,Ready To Move,Malleshwaram,1 BHK,617.89,1.0,2.0,68.96,1,6895999.999999999,11160.562559678907
Built-up  Area,Ready To Move,Kengeri,3 BHK,1467.5,2.0,2.0,59.44,3,5944000.0,4050.4258943781942
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1310.289547,3.0,2.0,80.07,3,8006999.999999999,6110.863067123284
Super built-up  Area,Ready To Move,Nagavara Enclave,3 BHK,1818.0,4.0,1.0,71.29,3,7129000.000000001,3921.342134213422
Super built-up  Area,18-Jun,Haralur Road Colony,4 BHK,2583.0,3.0,2.0,219.08,4,21908000.0,8481.610530391019
Super built-up  Area,Ready To Move,Hennur,3 BHK,1742.4,3.0,2.0,109.02,3,10902000.0,6256.887052341597
Built-up  Area,Ready To Move,Bellandur,2 Bedroom,1453.7,2.0,1.0,109.71,2,10971000.0,7546.949164201692
Built-up  Area,Ready To Move,Jayanagar,2 Bedroom,1343.0,2.0,0.0,122.04,2,12204000.0,9087.118391660462
Built-up  Area,Ready To Move,Vasanthapura Extension,1 Bedroom,449.2,2.0,3.0,42.29,1,4229000.0,9414.514692787177
Super built-up  Area,Ready To Move,Kengeri,4 BHK,2371.0,4.0,3.0,84.56,4,8456000.0,3566.42766765078
Super built-up  Area,Ready To Move,Basavanagudi,4 BHK,2527.8,4.0,3.0,266.14,4,26614000.0,10528.522826172955
Super built-up  Area,Ready To Move,Devanahalli Extension,2 BHK,1248.3,2.0,2.0,114.01,2,11401000.0,9133.221180805896
Super built-up  Area,19-Mar,Electronic City,2 BHK,995.0,2.0,2.0,49.59,2,4959000.0,4983.91959798995
Built-up  Area,19-Mar,Kaggadasapura Layout,3 BHK,1354.11,3.0,0.0,56.67,3,5667000.0,4185.036666149722
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,1061.91,2.0,2.0,48.27,2,4827000.0,4545.582959007826
Super built-up  Area,19-May,Jalahalli Block,2 BHK,1042.0,1.0,1.0,78.69,2,7869000.0,7551.823416506718
Super built-up  Area,Ready To Move,Other,4 BHK,2009.0,4.0,2.0,192.74,4,19274000.0,9593.827775012443
Super built-up  Area,Ready To Move,Kengeri,3 Bedroom,1665.2,2.0,2.0,63.24,3,6324000.0,3797.7420129714146
Carpet  Area,Ready To Move,Bellandur,3 BHK,1350.36,3.0,2.0,90.49,3,9049000.0,6701.17598270091
Super built-up  Area,18-Dec,Banashankari,1 Bedroom,590.51,1.0,0.0,32.49,1,3249000.0,5502.023674450898
Plot  Area,Ready To Move,Varthur,3 BHK,1630.7775000000001,3.0,1.0,71.14,3,7114000.0,4362.336370228311
Super built-up  Area,Ready To Move,Jp Nagar,1 BHK,473.715,1.0,2.0,30.88,1,3088000.0,6518.687396430343
Super built-up  Area,Ready To Move,Hebbal,2 Bedroom,1259.5,2.0,2.0,77.45,2,7745000.0,6149.265581579992
Carpet  Area,Ready To Move,Electronic City,2 BHK,1060.0,2.0,0.0,50.74,2,5074000.0,4786.792452830188
Super built-up  Area,19-Aug,Kr Puram,2 Bedroom,1092.0,2.0,0.0,44.47,2,4447000.0,4072.3443223443223
Super built-up  Area,Ready To Move,Rt Nagar,3 BHK,2178.0,2.0,3.0,143.29,3,14329000.0,6578.971533516988
Super built-up  Area,18-Jun,Banashankari,3 BHK,1714.0,3.0,1.0,92.04,3,9204000.0,5369.894982497083
Super built-up  Area,Ready To Move,Kanakapura Road,1 Bedroom,614.0,1.0,0.0,25.5,1,2550000.0,4153.094462540716
Super built-up  Area,Ready To Move,Electronic City,2 Bedroom,1027.0,2.0,0.0,44.23,2,4423000.0,4306.718597857838
Built-up  Area,Ready To Move,Indiranagar,2 BHK,1116.74,1.0,1.0,150.65,2,15065000.0,13490.158855239357
Built-up  Area,Ready To Move,Hennur,3 BHK,1531.0,3.0,0.0,78.53,3,7853000.0,5129.327237099935
Carpet  Area,Ready To Move,Sarjapur Road,3 BHK,2087.0,3.0,0.0,130.03,3,13003000.0,6230.474365117393
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,660.0,2.0,2.0,30.99,1,3099000.0,4695.454545454545
Plot  Area,18-Dec,Jayanagar,4 Bedroom,2425.5,3.0,2.0,190.23,4,19023000.0,7842.9189857761285
Super built-up  Area,18-Dec,Electronic City,4 BHK,2617.0,3.0,3.0,96.85,4,9685000.0,3700.802445548338
Built-up  Area,Ready To Move,Jayanagar,4 BHK,2430.648,4.0,1.0,222.75,4,22275000.0,9164.222873900293
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,1361.5,2.0,2.0,66.32,2,6631999.999999999,4871.098053617333
Built-up  Area,Ready To Move,Mahadevapura Nagar,3 BHK,1805.77,2.0,0.0,75.95,3,7595000.0,4205.961999590202
Built-up  Area,Ready To Move,Kr Puram,2 BHK,1171.5,2.0,2.0,55.36,2,5536000.0,4725.5655142979085
Super built-up  Area,Ready To Move,Vidyaranyapura Phase 2,2 Bedroom,1362.26,2.0,3.0,153.19,2,15319000.0,11245.283572886234
Carpet  Area,18-Nov,Bannerghatta Road,2 BHK,1048.5,2.0,2.0,47.34,2,4734000.0,4515.021459227468
Super built-up  Area,Ready To Move,Hsr Layout,2 BHK,1478.04,2.0,1.0,109.04,2,10904000.0,7377.337555140592
Built-up  Area,18-Dec,Vishveshwarya Layout Enclave,3 Bedroom,1942.0,4.0,2.0,191.99,3,19199000.0,9886.199794026776
Super built-up  Area,18-Dec,Whitefield,5 Bedroom,3284.12,5.0,1.0,171.46,5,17146000.0,5220.881088388975
Super built-up  Area,Ready To Move,Kalyan Nagar Block,2 BHK,936.54,2.0,1.0,77.67,2,7767000.0,8293.2923313473
Plot  Area,Ready To Move,Mahadevapura Stage 2,3 BHK,1551.0,3.0,2.0,152.84,3,15284000.0,9854.287556415216
Super built-up  Area,Ready To Move,Domlur,3 BHK,1458.57,4.0,1.0,181.08,3,18108000.0,12414.899524877106
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,2426.21,4.0,2.0,135.68,4,13568000.0,5592.2611810189555
Super built-up  Area,Ready To Move,Hsr Layout,2 Bedroom,1351.0,3.0,0.0,100.01,2,10001000.0,7402.6646928201335
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1191.5,1.0,1.0,49.85,2,4985000.0,4183.801930339908
Built-up  Area,19-May,Jayanagar,3 BHK,1562.0,3.0,3.0,136.58,3,13658000.000000002,8743.91805377721
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,885.0,2.0,0.0,37.43,2,3743000.0,4229.3785310734465
Built-up  Area,19-Aug,Vasanthapura Phase 1,2 BHK,1083.0,1.0,1.0,104.68,2,10468000.0,9665.743305632503
Super built-up  Area,Ready To Move,Kaggadasapura Block,4 BHK,2030.4,5.0,0.0,140.67,4,14066999.999999998,6928.191489361701
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1695.0,3.0,2.0,112.57,3,11257000.0,6641.2979351032445
Super built-up  Area,Ready To Move,Electronic City,4 BHK,2742.0,3.0,2.0,113.19,4,11319000.0,4128.00875273523
Built-up  Area,Ready To Move,Rt Nagar,6 Bedroom,4311.0,7.0,2.0,259.57,6,25957000.0,6021.108791463697
Carpet  Area,Ready To Move,Kadugodi Colony,2 BHK,1084.0,2.0,2.0,55.82,2,5582000.0,5149.446494464944
Plot  Area,Ready To Move,Sarjapur Road,4 BHK,2750.0,3.0,1.0,120.14,4,12014000.0,4368.727272727273
Built-up  Area,Ready To Move,Sarjapur Road,2 BHK,1401.0,2.0,2.0,80.34,2,8034000.0,5734.475374732334
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1611.72,3.0,0.0,102.7,3,10270000.0,6372.074553892736
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,1784.0,4.0,1.0,164.13,4,16413000.0,9200.112107623318
Super built-up  Area,18-Jun,Sarjapur Road,2 BHK,946.469727,3.0,3.0,56.17,2,5617000.0,5934.685325651202
Super built-up  Area,18-Jun,Hennur,2 BHK,1103.0,2.0,0.0,61.9,2,6190000.0,5611.967361740707
Super built-up  Area,Ready To Move,Other,2 Bedroom,1076.62,3.0,0.0,73.61,2,7361000.0,6837.138451821442
Carpet  Area,Ready To Move,Kengeri,4 Bedroom,2199.78,3.0,3.0,90.26,4,9026000.0,4103.137586485921
Carpet  Area,Ready To Move,Jp Nagar,3 BHK,1538.0,3.0,3.0,115.45,3,11545000.0,7506.501950585175
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1998.0,3.0,1.0,124.61,3,12461000.0,6236.736736736737
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,2695.0,3.0,2.0,162.18,4,16218000.0,6017.810760667903
Built-up  Area,18-Dec,Mahadevapura Stage 2,3 Bedroom,1942.0,3.0,0.0,175.59,3,17559000.0,9041.709577754891
Super built-up  Area,Ready To Move,Banashankari,5 Bedroom,2518.0,4.0,0.0,152.04,5,15204000.0,6038.125496425735
Plot  Area,19-Mar,Sarjapur Enclave,2 BHK,1202.0,3.0,0.0,37.69,2,3769000.0,3135.6073211314474
Super built-up  Area,Ready To Move,Kr Puram,2 BHK,1223.0,2.0,1.0,57.16,2,5716000.0,4673.753066230581
Carpet  Area,19-Aug,Hebbal,3 BHK,2095.77,2.0,2.0,154.06,3,15406000.0,7350.99748541109
Super built-up  Area,19-Mar,Btm Layout,3 Bedroom,1475.0,4.0,3.0,85.14,3,8514000.0,5772.203389830508
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,523.88,1.0,2.0,63.86,1,6386000.0,12189.814461327021
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,1348.5,3.0,0.0,132.83,3,13283000.000000002,9850.203930292919
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1934.0640000000003,2.0,3.0,76.4,3,7640000.000000001,3950.2312229584954
Super built-up  Area,Ready To Move,Jp Nagar,3 Bedroom,1313.21,3.0,2.0,96.36,3,9636000.0,7337.744915131624
Super built-up  Area,Ready To Move,Basavanagudi,2 BHK,969.07,2.0,1.0,87.93,2,8793000.0,9073.647930490057
Super built-up  Area,Ready To Move,Chandapura Extension,1 Bedroom,462.0,1.0,0.0,47.72,1,4772000.0,10329.004329004329
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,2006.0,4.0,2.0,82.76,3,8276000.000000001,4125.623130608176
Super built-up  Area,Ready To Move,Pattandur Agrahara Layout,2 BHK,1037.5,1.0,1.0,40.58,2,4058000.0,3911.3253012048194
Built-up  Area,Ready To Move,Koramangala,2 BHK,1257.0,1.0,0.0,183.8,2,18380000.0,14622.116149562451
Built-up  Area,Ready To Move,Vidyaranyapura Phase 2,2 BHK,1332.678459,2.0,2.0,132.18,2,13218000.0,9918.371465175756
Super built-up  Area,Ready To Move,Rt Nagar,3 BHK,1911.0,3.0,2.0,114.61,3,11461000.0,5997.38356881214
Built-up  Area,19-May,Vijayanagar,2 Bedroom,1093.5,2.0,3.0,79.16,2,7916000.0,7239.140374942844
Plot  Area,Ready To Move,Jalahalli Block,4 BHK,1815.0,5.0,2.0,129.7,4,12969999.999999998,7146.005509641872
Super built-up  Area,19-May,Cv Raman Nagar,3 BHK,1608.81,3.0,1.0,110.86,3,11086000.0,6890.8074912512975
Super built-up  Area,19-Mar,Kr Puram,3 BHK,1439.0,3.0,0.0,59.7,3,5970000.0,4148.7143849895765
Built-up  Area,Ready To Move,Kr Puram,3 BHK,2102.0,4.0,0.0,112.49,3,11249000.0,5351.569933396765
Super built-up  Area,Ready To Move,Horamavu Extension,2 Bedroom,1263.0,1.0,3.0,98.46,2,9846000.0,7795.724465558194
Super built-up  Area,Ready To Move,Nallurhalli Nagar,3 BHK,2185.0,2.0,2.0,69.96,3,6995999.999999999,3201.8306636155603
Built-up  Area,Ready To Move,Dodballapur Road Phase 2,1 BHK,507.0,2.0,0.0,45.5,1,4550000.0,8974.358974358975
Carpet  Area,Ready To Move,Whitefield,2 BHK,918.0,2.0,2.0,51.55,2,5155000.0,5615.468409586057
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1291.0,2.0,0.0,83.53,2,8353000.0,6470.178156467854
Super built-up  Area,Ready To Move,Vijayanagar,2 Bedroom,1162.0,3.0,3.0,76.41,2,7641000.0,6575.7314974182445
Super built-up  Area,19-May,Yeshwanthpur,3 BHK,1557.03,3.0,0.0,89.82,3,8982000.0,5768.674977360744
Built-up  Area,18-Jun,Kadugodi Colony,3 BHK,1729.0,3.0,1.0,81.0,3,8100000.0,4684.788895315211
Super built-up  Area,19-Aug,Varthur,2 BHK,1213.0,2.0,2.0,51.15,2,5115000.0,4216.81780708986
Super built-up  Area,19-Mar,Hebbal,5 Bedroom,3419.0,6.0,0.0,201.02,5,20102000.0,5879.496928926586
Carpet  Area,Ready To Move,Rt Nagar,5 BHK,2776.440366,5.0,0.0,157.2,5,15719999.999999998,5661.926037564316
Super built-up  Area,Ready To Move,Rt Nagar,2 BHK,1421.0,1.0,1.0,89.93,2,8993000.0,6328.641801548206
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1403.0,2.0,0.0,85.21,2,8521000.0,6073.414112615823
Super built-up  Area,19-Mar,Kanakapura Road,3 BHK,1863.0,3.0,1.0,73.18,3,7318000.000000001,3928.073000536769
Super built-up  Area,19-Aug,Yelenahalli Enclave,2 Bedroom,1095.0,2.0,3.0,76.47,2,7647000.0,6983.561643835616
Super built-up  Area,Ready To Move,Koramangala,4 BHK,2512.41,4.0,1.0,380.37,4,38037000.0,15139.64679331797
Super built-up  Area,Ready To Move,Cv Raman Nagar,4 BHK,2317.0,4.0,0.0,149.21,4,14921000.0,6439.792835563228
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1392.06,4.0,1.0,107.39,3,10739000.0,7714.466330474262
Super built-up  Area,18-Dec,Sarjapur Road,2 BHK,1015.0,3.0,2.0,55.33,2,5533000.0,5451.231527093596
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1877.33,3.0,3.0,147.67,3,14766999.999999998,7865.958568818481
Carpet  Area,Ready To Move,Jayanagar,2 BHK,823.0,1.0,1.0,73.21,2,7320999.999999999,8895.5042527339
Built-up  Area,18-Nov,Uttarahalli,4 BHK,1833.876,3.0,3.0,82.61,4,8261000.0,4504.666618680871
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1901.37,3.0,1.0,70.47,3,7047000.0,3706.274949115638
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,1457.0,4.0,2.0,78.38,3,7838000.0,5379.547014413178
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,988.0,2.0,0.0,46.8,2,4680000.0,4736.8421052631575
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,2914.6488419999996,4.0,2.0,227.36,5,22736000.0,7800.596652459447
Super built-up  Area,18-Dec,Marathahalli,2 BHK,1388.0,2.0,2.0,88.88,2,8888000.0,6403.458213256484
Carpet  Area,19-May,Rt Nagar,3 BHK,1976.5349999999999,2.0,0.0,104.47,3,10447000.0,5285.512272739921
Carpet  Area,19-May,Subramanyapura Stage 2,3 BHK,1527.0,3.0,2.0,63.87,3,6387000.0,4182.711198428291
Super built-up  Area,Ready To Move,Sonnenahalli Stage 2,2 BHK,1349.87,3.0,1.0,126.07,2,12607000.0,9339.41786986895
Built-up  Area,Ready To Move,Vasanthapura Extension,2 BHK,1034.0,2.0,1.0,93.59,2,9359000.0,9051.257253384912
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,1963.5,3.0,3.0,190.37,4,19037000.0,9695.441813088872
Super built-up  Area,Ready To Move,Nagavara Phase 1,2 BHK,1008.0,2.0,0.0,70.79,2,7079000.000000001,7022.817460317461
Super built-up  Area,Ready To Move,Rt Nagar,2 BHK,1225.92,3.0,3.0,78.06,2,7806000.0,6367.462803445575
Built-up  Area,Ready To Move,Nagarbhavi Main Road,3 BHK,1806.0,2.0,0.0,83.89,3,8389000.0,4645.071982281284
Super built-up  Area,Ready To Move,Talaghattapura Main Road,1 BHK,609.0,1.0,2.0,37.15,1,3715000.0,6100.1642036124795
Built-up  Area,18-Nov,Kengeri,1 BHK,359.37,1.0,2.0,15.24,1,1524000.0,4240.754653977794
Carpet  Area,Ready To Move,Hsr Layout,3 Bedroom,1389.44,4.0,2.0,109.27,3,10927000.0,7864.319438046982
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,1382.0,3.0,0.0,73.63,3,7363000.0,5327.785817655572
Super built-up  Area,Ready To Move,Varthur,3 BHK,2084.56,3.0,0.0,107.97,3,10797000.0,5179.510304332809
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,2572.0,4.0,2.0,227.95,4,22795000.0,8862.752721617419
Built-up  Area,Ready To Move,Pattandur Agrahara Layout,3 BHK,1750.0,3.0,3.0,77.29,3,7729000.000000001,4416.571428571429
Super built-up  Area,Ready To Move,Btm Layout,1 BHK,441.5,1.0,3.0,27.66,1,2766000.0,6265.005662514156
Super built-up  Area,18-Nov,Ambalipura Extension,2 BHK,1082.17,2.0,1.0,66.55,2,6655000.0,6149.680734080597
Super built-up  Area,19-Aug,Koramangala,4 BHK,2096.0,3.0,1.0,232.65,4,23265000.0,11099.713740458015
Plot  Area,19-Aug,Kaggadasapura Block,2 BHK,1199.0,2.0,2.0,77.81,2,7781000.0,6489.5746455379485
Carpet  Area,Ready To Move,Whitefield,2 BHK,1209.0,2.0,0.0,67.84,2,6784000.0,5611.248966087675
Built-up  Area,Ready To Move,Kanakapura Road,4 BHK,2605.0,4.0,0.0,111.39,4,11139000.0,4276.007677543186
Super built-up  Area,Ready To Move,Sompura Main Road,1 Bedroom,513.0,1.0,0.0,30.91,1,3091000.0,6025.341130604288
Built-up  Area,Ready To Move,Cv Raman Nagar,3 BHK,1618.79,4.0,1.0,101.14,3,10114000.0,6247.876500349026
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,1450.0,3.0,1.0,82.04,3,8204000.000000001,5657.931034482759
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,2705.0,5.0,2.0,249.99,4,24999000.0,9241.77449168207
Super built-up  Area,19-Mar,Basavanagudi,2 BHK,1191.0,2.0,2.0,122.57,2,12257000.0,10291.35180520571
Built-up  Area,Ready To Move,Whitefield,2 Bedroom,1095.26,3.0,0.0,56.02,2,5602000.0,5114.767269871994
Plot  Area,Ready To Move,Rt Nagar,5 BHK,3442.941054,5.0,0.0,193.65,5,19365000.0,5624.551712118857
Built-up  Area,Ready To Move,Gunjur Gardens,3 BHK,1466.0,3.0,1.0,44.84,3,4484000.0,3058.663028649386
Super built-up  Area,Ready To Move,Gunjur Stage 2,2 BHK,1061.0,1.0,2.0,114.52,2,11452000.0,10793.59095193214
Super built-up  Area,Ready To Move,Varthur,4 BHK,2422.0,5.0,1.0,134.99,4,13499000.0,5573.492981007432
Built-up  Area,18-Jun,Whitefield,2 BHK,1346.0,3.0,0.0,79.03,2,7903000.0,5871.47102526003
Built-up  Area,Ready To Move,Malleshwaram,1 BHK,376.67,1.0,2.0,40.82,1,4082000.0,10837.072238298775
Built-up  Area,19-May,Yeshwanthpur,3 BHK,1726.0,3.0,3.0,110.03,3,11003000.0,6374.855156431055
Super built-up  Area,Ready To Move,Electronic City,4 BHK,2044.27,4.0,1.0,82.01,4,8201000.000000001,4011.7009984004076
Super built-up  Area,Ready To Move,Yeshwanthpur,2 Bedroom,1163.0,1.0,1.0,72.82,2,7281999.999999999,6261.39294926913
Carpet  Area,19-May,Hennur,2 BHK,1446.0,3.0,1.0,101.2,2,10120000.0,6998.616874135546
Super built-up  Area,19-Aug,Banashankari,2 BHK,1306.8,2.0,2.0,67.15,2,6715000.000000001,5138.506274869912
Carpet  Area,Ready To Move,Varthur,2 Bedroom,978.0,2.0,3.0,44.28,2,4428000.0,4527.60736196319
Super built-up  Area,Ready To Move,Vidyaranyapura Township,3 BHK,1439.85,4.0,0.0,92.63,3,9263000.0,6433.309025245686
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,1710.06,3.0,1.0,80.31,3,8031000.0,4696.326444686151
